tokens,labels
sad happen louisiana ... :( ,0
know find balance :( ,0
guys add kik rhisfor 500 #kik #hornykik #bestoftheday #chat #snapme #summer #camsex :( ,0
something wrong :( ,0
i'm miss game :( they'd good show late ,0
miss watch anna akana video :( ,0
slept :) :) :) ,1
welcome :) ,1
know song disappear phone itunes i've lose dazed confused :( ,0
sorry could schedule change :( ,0
account mean hit us lunch time :( ,0
oh dang zen look outside space neat :-) ,1
well seem like dream :( ,0
also twitter terrible complicated discussion :) ,1
how's thing look tomorrow anything look like go wrong :) ,1
awww go ask dragon duck mix cheetah :p ,1
lot good comic event seem kid :( part schools program ,0
keep smiling life beautiful thing much smile :) many … ,1
goddess :d ,1
feel free share others :-) ,1
im standing always belieber :) bcause 2009 die :) ,1
experiment gastronomy ... :) #newblogpost #foodiefridays foodie fridays yoghurt pancakes … ,1
follow back pleasse :) ,1
love joy :( ,0
can't sleep cause i've bad anxiety day :( ugh stay home tomorrow 😞 #sotired #mybrainneedstoshutoff ,0
.. know :( ,0
ignore yester afternoon :( ,0
good thing :) ,1
dear hater :) ,1
okayy :d ,1
wifi fast af school even fast home :( ,0
i'm manteca :( i'm visit dad ,0
please tweet something i'm sad :( cheer please .. ,0
well gel know think ... yeah alison might :p ,1
wish band shittier could get book leno :( ,0
ahaha i'm lay bed like whyyyyyy pretty wine glass suck :( ,0
yet :( ... hopefully soon fingers cross come #clapham ,0
yeap :) ,1
bts 2 week ago :( ,0
harana .. wish could chance sing song :) ,1
mom far away :( ,0
rlyyyy wanna get septum pierce mum let :( ,0
send try make sure catch :-) ,1
hi brian i'll get ship today take 2-3 week australia many thanks :) ,1
u r dii n cant forget sis :) ,1
affaraid i'll :) ,1
cry derby county leeds united coffee mugs unable share hate man u :( ,0
jumma mubbarak :) ❤ ❤ ,1
happy birthday mitch :-) wish best good day ,1
agree dutch sound i'm sure i'm legible :( i'm legible israeli passport law return ,0
chance :) ,1
amaze short trip though :( wanna go day how's spain x ,0
i'm friend cousin karen gunderson watch europa report thoroughly impressed wanted say great script :-) ,1
jummah mubarik recite durood e pak much thank :) ,1
“ damn steal home girl phone ” get fuck :( ,0
i've go sleep like 5am everday :( would cool people like would hangout time ,0
hahaha bailey may :) fan boy ariana grande #pbb737gold ,1
morning :) ,1
haha receiving #ff thing friday nice way start day :) xx ,1
:-( please notice ,0
follow follow u back :) ,1
someone gift :( #calibraskaep need bad ,0
also dream joe want hug tell cute :( ,0
miss mom :( ,0
wish :( ,0
:-( please notice men ,0
thank alice :) ,1
aww cheer bud yeah would good see everyone hope well :) x ,1
agree great advice :) ,1
know actually get suspend smoking believe teenage fucking cliche :( ,0
thanks bob i'll sure pass ellie mairi :) ,1
living good memory always cherish well :) ,1
bae :) <3 ,1
omg i'm sooo jealous :) ,1
thanks follow us superb friday :) #ff ,1
u mean hide fots :p ,1
even notice :( ,0
good change back omg :( ,0
harry niall 94 harry bear ik stupid wanna change :d ,1
set wait notification install windows 10 pc :) mm ,1
here's invite become scope influencer :) details ,1
wanna watch paper town sadly one go w :-( ,0
hallo :) ,1
join hug i'm sorry hear sodders :( ,0
glad like :) ,1
love help :) e ,1
ugh :( thought ... ,0
catch online long enough haha he's annoy :( ,0
remember send present last christmas dub swiftmas :) ,1
leader ulit :) ,1
went home come back :-( sunway college petaling jaya selangor ,0
way boy :) ,1
looking forward always love giggle loop two great act :) ,1
hug many :) ,1
lets friends :) ,1
great attend #digitalexeter last night hear interesting talk #digitalmarketing #sociamedia :-) ,1
happy #friday folk order #goodyear #tyres online get upto £ 40 cashback cs apply #yourewelcome :) ,1
:( ,0
lmao catch point watch weekly i'll ok make 700 there's 800 eps :( ,0
exactly :d ,1
indiankulture .. oppose :) .. happy anniversary :) ,1
sadly must :( ,0
literally give get general ticket try one time finally get g :-) ,1
may look strong hey :-( ,0
add video playlist im back twitch today go league :) 1 3 ,1
30 minute count pass edsa ayala tunnel ... still completely :( ,0
near enough dartmoor :) ,1
thanks share :) ,1
gals also bend one knee put men bend two knee pleasure men heaven :) ,1
hi dm detail pass alumni team get touch mba representative :-) ,1
also want :( ,0
yeah look :( ,0
america good #ontheroadagain2015 tour four song perform :( ,0
hi shout list one best what's secret behind :) #sandroforceo #ceo1month ,1
r u gonna sarajevo :( live like 2 hour 😩 😩 😩 😭 ,0
thanks feedback i'll take next tuesday :) ,1
thank send premium write instrument however dastardly swine stole envelope :( ,0
sorry stream end im tire end game didnt know playstation end broadcast :( ,0
say #hello #leo xst series standard #centrifugal #pump :) ,1
can't wait <3 :( ,0
nobody go :( ,0
happen :( ,0
happy shopping :) ,1
rettweet :-) ,1
mr2 climb give cuddle :) ,1
im sooo hungry though :( ,0
think it'll sam would love he's make big improvement start :) ,1
think well past :d give much anticipation future ,1
wanna talk people i'm scar find annoy tend ignore interested talk :-( ,0
wanna skate raining :( ,0
larry real :) ,1
hi could find way contact apple shuffle work play one song :( ,0
mans sing rain :) ,1
follow follow u back :) ,1
current mood af :-) ,1
planning trip kuching enjoy special room rate merdeka palace hotel suites plusmiles card :) ,1
want hear voice :) #birthdaypresent ,1
one year late even meet :( ,0
bc thomas tommyy :( ,0
love song :) ,1
co “ would entertain tbh hey remember typa weather :( ” ,0
love book he's big credit turkish literature favourite book name red :) ,1
ambrose gwinett bierce world suffer ravage illadvised marriage virginity :) ,1
shoot tomorrow tell team fly evening :( hate unprepared ,0
last present receive — haha basta :( ,0
nak tgk paper town sigh :( ,0
come chill fire :) ,1
kinda miss pamela good anna :( ,0
study mcdo strong selfie game everywhere :) ,1
megan fell asleep already :-( ,0
:) shop opposite open soon ,1
visit blog thanks :d ,1
hush gurly bring purty mouth closer make shiver :( ,0
anxious shake dad like calm well apparently 10:30 right :) ,1
travel style :-) ,1
add video playlist im back twitch today go league :) 1 4 ,1
thanks hun shame one sxrew end come dissappeared alot swap around bleed place :( ,0
follow follow u back :) ,1
u tho gud trend :) #bajrangibhaijaanhighestweek1 ,1
tzelumxoxo dont really use line ipod :-( use whatsapp actually ,0
i'm 22 :) 18 legal age drink much really ,1
3points #dreamteam gooo bailey :) #pbb737gold ,1
get sleep medicine imma till 7 pm tomorrow take :( ,0
hasb sms k message atty hain mujy sirf :( ,0
dnt stab meh :( ,0
stats day arrive 1 new follower unfollowers :) via ,1
mean hmm omg im slow :( ,0
get light outside i'm :( probably like 3 hour sleep d: feel well rn painful sunburn ughh ,0
miss :( ,0
coffee book venture outside :) #holiday #coffee #reading #deathcure ,1
jealous :) yes plezzzz 😭 im hungry rn ,1
kik qualky 808 #kik #kikmenow #milf #like4like #bored #summer #sexysaturday :) ,1
lead cause cancer child five :( ,0
i've decide stop support others find answer pledge get pay support pay back sorry :( ,0
get home .. heavy rain :( ,0
thanks :) ,1
upside :d ,1
relation full lie :( ,0
welcome thanks explore retweeting :) ,1
hey dave i'd like help could dm full address drop tweet please :) #haileyhelps ,1
i'm play brain dots #braindots ,1
miss youuu :( ,0
:( miss much ,0
snap :( ,0
babe :( ,0
want fucking day collar :( ,0
birthday week today :d ,1
love u si :) #bajrangibhaijaanhighestweek1 ,1
hi thanks connect specialise thermal image survey – need us :) ,1
amazing glad hear could make friday morning little good :-) ks ,1
happy birthday love :) ,1
let's go #더쇼 cast vote #got7 today :( ,0
know i'm #blockjam since schedule's whack right :( ,0
siannn 7 march 2017 :( ,0
get stuff like march release one first start new one :) ,1
awww :( kaya yan think positive ,0
lovely pic fab show :-) x ,1
curve tummy big .. get flat ab :( ,0
ha mistake thanks point :) ,1
miss much :( #aragalang08 ,0
ah thanks babe #notgonnabeactivefor2weeksdontmissittoomuch :( ,0
u never call :( ,0
havent tweet year kinda miss :) ,1
suger :( ,0
second wednesday already :( ,0
faggot :( poor english teacher ,0
reject section uk govt e-petitions site die :( ,0
sure would good thing 4 bottom dare 2 say 2 miss b im gonna stubborn mouth soaping #nothavingit :p ,1
ign :) ign au pubcast 120 hero deserve tengaman tuesday july 21 celebratio ... #letsprocrastinate ,1
saw rted orig tweet starholicxx :( ,0
hope find new home :( ,0
problem :) ,1
thanks follow :) ,1
craving pizza :( ,0
niall follow fan :) i'm still without follow 👍 ,1
congrats roy :d ,1
exclusive germany unfair :( esp regard current bleak german chart situation still entry even top 100 pfft ,0
day day pa :( company mean 💔 jk ,0
miss mom :( ,0
snapchat jaclintiler #snapchat #snapchat #teens #models #likeforlike #mpoints #hotfmnoaidilforariana :( ,0
0-100 real quick :) ,1
say hello viners palembang please :( ,0
love :( ,0
listen radio :-( ,0
need :( donghyuk stans :( :( :( tl :( u guy ,0
“ love spot robinhood wild thanks support robinhoodies 🚙 💚 ” :( ,0
stream say standby even inatall zenmate :( ,0
kyunke aitchison hai :p look response original tweet know brother ,1
delph 20 minute debut :( ,0
pray sorry happen ,0
sweet :) ,1
:) ,1
i'm get super slow move definitely want mono life remix :-) ,1
thank follow :) ,1
right back excellent job difficult medium :) ,1
class entire school discuss advisory period one take seriously :-( ,0
hence expression wot racket maybe :p ,1
academics :-( ,0
overwhelm groupmates thankful group get 1 75 recitation :) ,1
owwww choo chweet ... love u :-) ,1
get misunderstood :( ,0
since one i'm bore :) add ,1
thank several step appreciate noticing :) ,1
forward richard ... follow :) ,1
go catch member pikami captured :d ,1
wish money fly see concert :( ,0
:-( ,0
finished development test spain next official test excite season 2 :) ,1
poor sbenu sasin happy ... best player team .. :( anarchy 3 <3 ,0
season 11 set ♡ nice friday #spnfamily :) #spn11 #alwayskeepfighting #jaredpadalecki #jensenackles ,1
can't :( ,0
thank donna 😊 uneventful fine :) ,1
awwww katekyn :( wish could get back ,0
#nsn_supplements effective press release distribution result :) link remove #pressrelease #newsdistribution ,1
im happy meeting anyone want meet i'll even throw quan tip way :) ,1
keep calm stay kepo :) :d ,1
new blog important life lesson learn watch movie :) something everyone need remember xx ,1
need get motivate mean walk way q'don think energy :( ,0
i'm appreciate body feed need :-) ,1
:( dark horse good imo sorry sorry ,0
agree :( ❤ ❤ ❤ ,0
oh know :) yes order deliver work address add address book ac ,1
tykkäsin videosta 200sub special 15e paysafecard giveaway :) lue desc ,1
wish happy friday :) xxx ,1
follback pls :( ,0
need :) #teenchoice #choiceinternationalartist #superjunior ,1
fucking tired drive home :( ,0
expired use bis money i'm break ): get bb bis ,0
we're sorry :( long able access site automatically redirect local site ,0
:( miss :( ,0
achi im busy next week exam hope understand cant tweet youuu bawi ako queenesther :) ,1
friend make fun fact mexican hurt feeling leave scar life :) ,1
nia want meet :( ,0
could misread bad thing :p ,1
safe :d ,1
rude :( ,0
lol ... morning :) ... wet hey friday :) ,1
sound effect :( ,0
true pakistanis :p ,1
penis small :( ,0
awww :( mean make sad mike ,0
add snapchat sexyamelie 20 #snapchat #kikhorny #likeforfollow #kikmeboys #likeforfollow #newmusic #hornykik :( ,0
huhu know :-( thanks satya xx ,0
get fuck outta :d ,1
congraaats guy :) ,1
angelo's face listen yna :( #psygustokita ,0
mess big time :( ,0
miss following spree :( next time though x ,0
hey know blonde hair swerve :) ,1
need stress time :) ,1
nvm lemme quiet eat foof :( ,0
want bday answer please — idk leh :( b ,0
bet planning secret baby shower chloe say barely know computer :d ,1
number two week gorefiend mythic live :) ,1
unique :) ,1
really can't fall back asleep :( ,0
yum :d ,1
sad thing feel real look around realize shoulder … :( ,0
hello 3 geez .. badly miss 12 precious star :( exo <3 ,0
yeah dude keep calm brace :-( ,0
fuck comma future :-) ,1
can't tell sad book another cruise line could double wail :-( ,0
elf fighting huha :d :) #teenchoice #choiceinternationalartist #superjunior ,1
time jog :p ,1
wtf body goal :( ,0
u give 350 ill give u 350 350 rts anything pls :( ,0
#dearslim u get offer play film u turn cause summer body ready yet :d ,1
know :( ,0
miss :( ,0
welcome :) ,1
hi livi fowles oliviafowles 891 want get free iphone 6 hurry check bi0 thx :) ,1
guy great weekend :) ,1
lolzz unfortunately dats :( ,0
confusing tho :( ,0
find path firmansyahbl :) ,1
ur cat super nice cuddly suddenly scratch try bite :( like trust anymore ,0
girl hmu sometime :) ,1
miss cutie ry :( ,0
baby angel die :( ,0
hmm thanks :) ,1
omg r hahah :( omg debut mo na next year :( ,0
:-( please notice gonna spam u till u follow baby ,0
one :( perhaps something else 87.7 #2fm ,0
hello :) get youth job opportunities follow ,1
main man jesus look :) ,1
rain even feel like friday >:( ,0
cheers :-) ,1
that's need know everything go okay :-) ,1
omg wanna hear ghost story :( ,0
thanks 4 give certainty problem :) hope u could solve fast 👊 least know dont hurry 4 totem ,1
✫ ✧ ˚ ✧ · ✵ ⊹ thank always put smile face mind follow :) nice day x 1710 ,1
can't sleep :( ,0
lucky :( ,0
gn :) jesus love u ,1
hey sarah send us email bitsy.com we'll help asap :) ,1
think could last photo 11 together ... hate transfer window :-( ,0
kik abligaverins 7 #kik #hornykik #photooftheday #kikchat #likeforlike #indiemusic #sexygirlbypreciouslemmy :( ,0
hope thanks mfundo :) ,1
hey here's invite join scope influencer :) ,1
bobble leak gift idea return thermos model :-( ,0
i'm go olympic stadium tonight rain :( ,0
tire say anything anymore bro :) ,1
:( hope easy day work today ❤ ️ ,0
purrthos cathos catamis :d ,1
root :( kuch nahi hua ,0
didnt expect omg faces :( im proud infinite ,0
what's hashtag weekend guy :) ,1
yeah bit risky count :( ,0
:-( i'll work like time ,0
:d absolutely way 2 mention lack hygiene tose long clothes hot temperature ,1
i'm really excite also really sad able see :( ,0
hi here's vid stydia take look :) ,1
sorry nic dont ya worry surrender :) ,1
oops ... that's call #fridayfauxpas :) i'll get change right thank g ,1
final fantasy vii :) ,1
hi jack best thing would call 101 :) ,1
hey buddy thinking anything :) ,1
1000 views thanks :-) ,1
lol 2am last night face though people think i'm perpetually piss sad b c rest bitchface :( ,0
killin meme worthy :) cool shot ,1
request medium persons cover rally please rotate camera :) ,1
hey guy know request product team already consider :) ,1
hey sorry hear :( check service status page → gen ,0
weekend draw close plan :d ,1
ping i'm watch tl like hawk :d ,1
haha nothing stop goat :d ,1
:) ,1
wish cara delevingne's face :-( ,0
can't sleep heck :( ,0
hi join today :) ,1
goooood mooorning :) want sleep ... ,1
thank eonnie :) ,1
yes john :) ,1
yeah thanks romantic love baby :) ,1
sorry pooo :( ,0
hi wonder marmite cheese spread back stock many thanks :) ,1
app look influencers :) interested here's invite ,1
glad enjoy journey nice day :) ,1
thanks send :) ,1
done afang soup make semo next :d ,1
#ff new member :) ,1
thank :d ,1
awesome :d ,1
nisrina beautiful :( ,0
naya whats happen link keep spinny loading wheel never play anything :( ,0
eonni :) ,1
1000 battery life please :( ,0
good luck secret hwaiting :) ,1
i'm serious one amazing submission well week :) ,1
hello spick find offense :( ,0
awwwww cute :d ,1
ha love pic clearly much learn popular english pastime :) ,1
never show much :) ,1
lesley :) ,1
delve enough see hear fuck horrendous :( ,0
add snapchat corinehurleigh #snapchat #snapchatme #instagram #addmeonsnapchat #sfs #quote #kiksexting :( ,0
airport :( ,0
3am can't sleep :( ,0
id anything go thorpe park tomorrow :( ,0
thank much mom getting tickets :) ,1
i'm play brain dots #braindots ,1
need extra #ucount point make worth tweet fun :) ,1
family hang :) — feel festive jamuna future park ,1
mad gigi dream hang didnt want talk :( ,0
love matter :) ,1
whats ur height :) ,1
end state last night :( :( :( :( ,0
spent age make first vine realise they're mean shoot portrait mode can't flip shot ... :( ,0
ummmm ok new development :( ,0
soon promise :) ,1
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 341 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
like best brother ever :) #sosweet #wsalelove ,1
stats day arrive 1 new follower unfollowers :) via ,1
miss bestfriend :( ,0
hi alex heswifi want get free iphone 6 hurry check bi0 thx :) ,1
carnival men put mask mask xavier forneret :-) ,1
apply tomcat :( ,0
looking gen.ad better price negotiable :( someone help :( huhuhuhuhu #bbmadeinmanila #findavip ,0
casillas :( manchester city vs real madrid start xi #rmtour2015 ,0
hay :( ,0
aww thankyou :) ,1
ahh alright :) wanna know worthwhile judging tech review good windows 8 ,1
ding ding ding hundred point u :( ,0
views office pretty awesome ugly side sea side even pretty :) ,1
:-( need investigate ... ,0
need reset phone :( ,0
everyone go drop follow stream :d ,1
saw comment midares gender unknown like :) yeah keep say ,1
always nice get invite :) ,1
thanks much :-) ,1
nice sound awesome :) ,1
jisung kid sunshine :) ,1
hey who's :) ,1
awwhh #cute #bulldog #friday #happy good friday everyone :) x ,1
welcome :) ,1
’ sad want hair colour back :( ,0
feelings sir :( :( ,0
one day wish :) ,1
really like interaction sunny offer help dongsaeng chorong friendship among idol :) ,1
cute :( ,0
schools shit rn :( ,0
happy birthday :) ,1
adolf hitler ... obstacle exist surrender break :-) ,1
wow that's great what's username :( ,0
mr ahmad maslan cook :( ,0
okay :) ,1
spooky jim smol bean :( ,0
#jabongatpumaurbanstampede ans 7 timely arrival :) ,1
say good kelly glad enjoy nibble :) ,1
fun osaka super junior :( would lovely watch comeback stage though ,0
5h kid make :/ ,0
later turn :d ,1
:( sialan :( ,0
french fan make movie wwat france last year video photo :) ,1
who's score i'm work :( ,0
i'm work next saturday im well gutted want go pride :( :( ,0
unavailable :( ,0
how're today dear :) ,1
hate messenger :( ,0
friday night hong kong ... ferry central meet new girlfriend after-work drink :-) ... ,1
yes joined #hushedcallwithfraydoe call gift <3 gotta get :d ,1
full time job mean gonna part time fun :( ,0
newly list ebay store :-) ... ,1
say hello overgeneralization :-) ,1
oh okay :d thanks ,1
hi see u like fourfiveseconds think u might like deaf ears plz let know u think :) ,1
thank :) 🍰 ,1
kumpul cantik ganteng :) kresna jelly 3 others simon sons pic — ,1
yes course pop email reservations.eu date we'll get right back :) ,1
aint never uploading lol also find another vid u dance henrys trap keep go fitness journey tommy :) ,1
:) yeah problem ,1
indeed :-) ,1
offer mixtape talk suckmejimin ,0
sad view :( ,0
awww ... dont worry dear get use :) ,1
gonna miss subsidized lunch :( ,0
aaahhh see ... :) ,1
still work :( ,0
future megamoh 7/29 2015 happy birthday :) ,1
nothing except lie fraud double cross diplomacy survival fit zero tolerant ... :( ,0
hungry :-) ,1
even talk great :) ,1
hope one day he'll fall love strong woman let see thing refuse see :) ,1
can't believe ill go work today wish :( ,0
like moment ... :-( ,0
oh dear :( ,0
we're counting :) mm ,1
wait ... everyone photo phone wonder talk lol :d ,1
luv u 💖 p talk looooong time :-( ,0
wtf stereo kick :( ,0
mind follow back :) ,1
snapchat norapowel 19 #snapchat #hornykik #teen #booty #photooftheday #music #livesex :) ,1
sian :( plan always clash one fml 😭 facil head training entire weekend dh chalet got suay anot 😢 go ,0
hi great connect specialise thermal image survey – need us :) ,1
#flipkartfashionfriday love ... hope u love :) ,1
man right wish someone would bring food office i'm starve :( ,0
"true life cant hide anything ... :( .
. love ... ❤ .
. ... ... ",0
right right :( always good memory guess 😔 ,0
hopeless tmr :( ,0
lmfao dont know :( ,0
please watch infinite's mv :( ,0
mom ignore call :( #unloved ,0
i've enter win huge package :) enter #giveaway ,1
eugh :( good weather ,0
15 days ago danny take wig put onto mark's head want go back :( ♥ ,0
morning wear get darker end world day today instead september :-) ,1
like keep lovely customer wait long hope enjoy happy friday lwwf :) ,1
getting pump :( ,0
dude even go watch :( ,0
im jealous always plan go together :( ,0
thank sweet kind comet :-) ,1
:) xx ,1
im sure wasnt anything we're already use :) glad ur home ,1
cheers alice :) ,1
aw that's shame think we'll miss :( ,0
hhahahahaha blow upp entire la vegas strip :d :d :d :d fuck youuuuuuu vegas hahahahahhaha ,1
lmaoo best song ever <3 shall little throwback week :p ,1
r u :-) ,1
